mesto,ulice,telefon,email
Praha 5,Radlická 333/150,224111111,info@csob.cz
Aš,Hlavní 291/75,354548211,info.as@csob.cz
Benešov,Masarykovo nám. 7,230031911,info.benesov@csob.cz
Beroun,Husovo nám. 38,230031311,info.beroun@csob.cz
Blansko,Rožmitálova 6,516527312,info.blansko@csob.cz
Bohumín,Komenského 263,596097011,info.bohumin@csob.cz
Boskovice,kpt. Jaroše 56/2,516498111,info.boskovice@csob.cz
Brandýs nad Labem - Stará Boleslav,Pražská 1777,326901911,info.brandys-nad-labem@csob.cz
Brno,Holandská 874/8 (CENTRUM SPIELBERK),543432511,info.brn-holandska@csob.cz
Brno,Joštova 5,545566111,info.brn-jostova@csob.cz
Brno,Joštova 5,545566111,PBA_Brno@csob.cz
Brno,Masarykova 413/34,420734166296,info.brn-masarykova@csob.cz
Brno,Milady Horákové 6,545566111,info.brn-m-horakove@csob.cz
Brno,Milady Horákové 6,545566111,Corporate.Brno@csob.cz
Brno,Netroufalky 5,230051241,info.brn-netroufalky@csob.cz
Brno,Olomoucká 1257/118,230051225,info.brn-olomoucka@csob.cz
Brno,Palackého tř. 56 (KRÁLOVO POLE),549523711,info.brn-palackeho@csob.cz
Brno,Purkyňova 646/107,603800363,info.brn-purkynova@csob.cz
Brno,Svratecká 1247/4 (Komín),541518511,info.brn-svratecka@csob.cz
Brno,Veveří 111 (PLATINIUM),545566111,info.brn-veveri@csob.cz
Brno,Výstaviště (PAVILON E),230054111,info.brn-vystaviste@csob.cz
Bruntál,Dr. E. Beneše 21,554719111,info.bruntal@csob.cz
Břeclav,17. Listopadu 3064/30,519360360,info.breclav@csob.cz
Čáslav,nám. J. Žižky z Trocnova 3,327340311,info.caslav@csob.cz
Čelákovice,J. A. Komenského 1998,326746811,info.celakovice@csob.cz
Česká Lípa,Barvířská 1607,487882511,info.ceska-lipa@csob.cz
Česká Třebová,Nádražní 547,465569111,info.ceska-trebova@csob.cz
České Budějovice,Hroznová 1,387728111,info.cb-hroznova@csob.cz
České Budějovice,Lannova 3/11,387728111,info.cb-lannova@csob.cz
České Budějovice,Lannova 3/11,387728111,Corporate.CeskeBudejovice@csob.cz
České Budějovice,Nádražní 1759 (MERCURY CENTER),386100081,info.cb-nadrazni@csob.cz
České Budějovice,U Černé věže 3,387728111,PBA_CeskeBudejovice@csob.cz
Český Krumlov,Špičák 136,380700011,info.cesky-krumlov@csob.cz
Český Těšín,Nádražní 4,558761611,info.ceskytesin@csob.cz
Dačice,Göthova 149,384400011,info.dacice@csob.cz
Děčín,Řetězová 195/2,412704611,info.dec-retezova@csob.cz
Děčín,Zbrojnická 97/18,412709711,info.dec-zbrojnicka@csob.cz
Domažlice,náměstí Míru 4,379713011,info.domazlice@csob.cz
Dvůr Králové nad Labem,Revoluční 74,499628411,info.dvur-kralove@csob.cz
Frýdek - Místek,J. V. Sládka 41,558442711,info.mistek@csob.cz
Frýdek - Místek,T. G. Masaryka 492,558442611,info.frydek@csob.cz
Havířov,Dlouhá 13,596808511,info.havirov@csob.cz
Havlíčkův Brod,Havlíčkovo náměstí 1963,569408511,info.havlickuv-brod@csob.cz
Hodonín,Národní třída 17,518399641,info.hodonin@csob.cz
Holešov,Palackého 821,573509411,info.holesov@csob.cz
Holice v Čechách,nám. T. G. Masaryka 16,466009511,info.holice@csob.cz
Hořice,nám. Jiřího z Poděbrad 345,493655711,info.horice@csob.cz
Hradec Králové,Břetislavova 1622,495819205,info.hk-bretislavova@csob.cz
Hradec Králové,Československé armády 5 (REGIOCENTRUM),737201468,info.hk-cs-armady@csob.cz
Hradec Králové,Ulrichovo nám. 734,495819111,info.hk-ulrichovo@csob.cz
Hradec Králové,Ulrichovo nám. 734,800110808,PBA_HradecKralove@csob.cz
Hradec Králové,Ulrichovo nám. 735,224111111,Corporate.HradecKralove@csob.cz
Hranice,Masarykovo nám. 121,581699611,info.hranice@csob.cz
Cheb,Březinova 18/13,354548011,info.cheb@csob.cz
Chlumec nad Cidlinou,Klicperovo nám. 7/I,495703611,info.chlumec-nad-cidlinou@csob.cz
Chodov,Staroměstská 1156,352327711,info.chodov@csob.cz
Chomutov,náměstí 1. máje 101,474614011,info.chomutov@csob.cz
Chrudim,Čáslavská 313,469699611,info.chrudim@csob.cz
Jablonec nad Nisou,Komenského 17,483353111,info.jablonec-nad-nisou@csob.cz
Jaroměř,Svat. Čecha 349,491840311,info.jaromer@csob.cz
Jeseník,nám. Svobody 829/17,584458011,info.jesenik@csob.cz
Jičín,Husova 393,493544111,info.jicin@csob.cz
Jihlava,Masarykovo nám. 14,567568111,info.jihlava@csob.cz
Jihlava,Masarykovo nám. 68/14,567568150,PBA_Jihlava@csob.cz
Jindřichův Hradec,nám. Míru 140/1,384377021,info.jindrichuv-hradec@csob.cz
Kadaň,Mírové náměstí 65,474316911,info.kadan@csob.cz
Kaplice,Linecká 434,380301651,info.kaplice@csob.cz
Karlovy Vary,T. G. Masaryka 32,353166111,info.kvary@csob.cz
Karlovy Vary,T. G. Masaryka 951/32,353166329,PBA_KarlovyVary@csob.cz
